Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           1
inspectionrecord$Department.browse@departmentsDs       141.0         141         141         0.0           1

Performance Statistics   2017-10-25 21:38:00 - 2017-10-25 21:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:40:00 - 2017-10-25 21:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:42:00 - 2017-10-25 21:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:44:00 - 2017-10-25 21:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Department.browse#init                  0.0           0           0         0.0           2
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           2
inspectionrecord$Department.browse#load                 11.5           8          15         3.5           2
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           2
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           2
inspectionrecord$Department.browse#xml                   0.0           0           0         0.0           2
inspectionrecord$Department.browse@departmentsDs       135.0         131         139         4.0           2
inspectionrecord$Employee.browse#init                    0.0           0           0         0.0           2
inspectionrecord$Employee.browse#inject                  0.0           0           0         0.0           2
inspectionrecord$Employee.browse#load                   11.0          10          12         1.0           2
inspectionrecord$Employee.browse#ready                   0.0           0           0         0.0           2
inspectionrecord$Employee.browse#uiPermissions           0.0           0           0         0.0           2
inspectionrecord$Employee.browse#xml                     0.0           0           0         0.0           2
inspectionrecord$Employee.browse@employeesDs           139.0         138         140         1.0           2
inspectionrecord$InspectionRecord.browse#init            0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#inject          0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#load           27.0          27          27         0.0           1
inspectionrecord$InspectionRecord.browse#ready           0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#xml             0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse@inspectionRecordsDs       136.0         136         136         0.0           1

Performance Statistics   2017-10-25 21:46:00 - 2017-10-25 21:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:48:00 - 2017-10-25 21:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

