Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Performance Statistics   2017-10-25 21:26:00 - 2017-10-25 21:27:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0.0           0           0         0.0          24
Messages.searchFiles                                     0.0           0           0         0.0          24
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           1

Performance Statistics   2017-10-25 21:27:00 - 2017-10-25 21:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           1

Performance Statistics   2017-10-25 21:28:00 - 2017-10-25 21:29:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:29:00 - 2017-10-25 21:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                               2.0           2           2         0.0           1
LoadClass                                                0.0           0           0         0.0           8
MenuItem.inspectionrecord$DefectType.browse            204.0         204         204         0.0           1
Messages.searchClasspath                                 0.3           0           2         0.6          28
Messages.searchFiles                                     0.0           0           0         0.0          28
PersistenceSecurity.applyConstraints(..)                 0.4           0           3         1.0           8
QueryParser.getEntityAlias()                             0.0           0           0         0.0           7
QueryParser.getEntityName()                              0.0           0           1         0.2          28
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getParamNames()                              0.0           0           1         0.2          28
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           9
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.0           0           0         0.0           2
QueryTransformer.getResult()                             0.0           0           0         0.0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         0.0           0           0         0.0           2
SearchFolders                                            2.0           2           2         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          10
ViewRepository.init.ViewRepositoryClientImpl            15.0          15          15         0.0           1
ViewRepository.init.ViewRepositoryImpl                  18.0          18          18         0.0           1

Performance Statistics   2017-10-25 21:30:00 - 2017-10-25 21:31:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0          14
PersistenceSecurity.applyConstraints(..)                 0.1           0           1         0.3          36
QueryParser.getEntityAlias()                             0.1           0           1         0.2          18
QueryParser.getEntityName()                              0.0           0           1         0.1          87
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          51
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          51
QueryParser.getParamNames()                              0.0           0           0         0.0          87
QueryParser.hasIsNullCondition(..)                       0.0           0           1         0.2          26
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          37

Performance Statistics   2017-10-25 21:31:00 - 2017-10-25 21:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           4
MenuItem.inspectionrecord$Department.browse            193.0         193         193         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.8           0           6         1.4          23
